0,2,2
0,5,5
5,1,92
5,3,28
28,1,29
28,4,30
28,4,39
28,5,69
28,6,20
20,3,85
85,2,19
19,5,83
5,6,68
30,7,17
17,1,8
8,2,9
9,2,25
25,3,57
57,2,7
57,2,15
17,3,99
99,4,16
17,4,77
17,5,76
76,1,14
14,2,97
7,5,87
14,6,10
10,2,53
10,5,88
14,6,45
16,6,73
15,7,34
16,8,32
30,9,11
11,4,23
11,6,58
11,7,91
97,9,13
13,1,24
28,9,86
14,11,63
11,12,26
26,6,22
5,12,62
68,13,1
11,13,82
26,13,93
23,14,4
25,14,60
10,14,71
24,15,80
5,15,96
19,16,18
5,16,21
28,16,38
30,16,65
5,18,61
11,18,74
25,19,36
14,19,47
30,19,72
11,20,51
51,18,12
12,14,54
13,20,98
98,3,6
6,2,35
30,21,3
14,21,50
4,21,94
5,22,27
27,9,79
27,19,41
13,22,52
9,22,64
14,22,78
15,26,40
8,26,42
15,27,55
13,27,67
22,27,81
10,28,59
13,28,66
24,28,95
22,30,56
