0,9,9
9,3,40
40,1,25
25,9,54
54,6,1
0,9,9
9,3,40
40,1,25
25,9,54
0,12,12
12,3,95
95,6,5
5,2,7
0,12,12
12,3,95
95,5,13
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
0,12,12
12,3,95
95,6,5
0,12,12
12,3,95
95,6,5
5,2,7
7,6,20
0,9,9
9,9,30
30,3,83
0,9,9
9,3,40
40,1,25
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,10,65
0,9,9
9,3,40
40,2,55
55,10,2
0,9,9
9,3,40
40,2,55
0,12,12
12,17,61
0,12,12
12,3,95
95,6,5
5,2,7
7,27,3
0,11,11
11,28,98
0,12,12
12,3,95
95,6,5
5,2,7
7,5,90
0,19,19
19,1,39
39,35,4
0,19,19
19,1,39
0,12,12
12,17,23
0,12,12
12,3,95
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,2,76
76,4,18
0,9,9
9,16,48
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,2,76
76,4,18
18,2,97
0,9,9
9,3,40
40,1,25
25,7,28
28,7,57
0,12,12
12,1,26
26,4,38
38,1,27
27,1,33
33,19,53
0,12,12
12,3,95
95,5,17
17,25,51
0,9,9
9,38,93
0,12,12
12,1,26
26,4,38
38,1,27
27,1,33
33,6,70
0,12,12
12,1,26
26,4,38
38,2,6
0,11,11
11,12,56
0,19,19
0,9,9
9,3,40
40,19,66
0,11,11
11,8,60
0,9,9
9,3,40
40,1,25
25,13,35
0,9,9
9,3,37
37,12,81
0,12,12
12,3,95
95,6,5
5,2,7
7,8,74
0,12,12
12,3,95
95,6,5
5,2,7
7,13,59
0,12,12
12,6,10
10,6,82
0,9,9
9,10,50
0,12,12
12,1,26
0,19,19
19,2,63
0,12,12
12,3,95
95,6,5
5,2,7
7,26,68
0,12,12
12,3,95
95,6,5
5,2,7
7,29,43
0,12,12
12,3,95
95,5,17
17,10,15
0,12,12
12,1,26
26,6,31
31,2,67
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,3,44
0,16,16
16,8,45
0,9,9
9,6,86
0,12,12
12,1,26
26,17,72
0,12,12
12,1,26
26,4,38
38,1,27
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,2,76
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,13,84
0,19,19
19,1,39
39,16,99
0,12,12
12,1,26
26,6,31
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,30,78
0,9,9
9,3,40
0,9,9
9,15,85
0,12,12
12,1,26
26,18,69
0,9,9
0,12,12
12,1,26
26,4,38
38,3,36
0,19,19
19,10,58
0,12,12
12,3,95
95,5,13
13,4,79
0,9,9
9,28,80
0,9,9
9,3,40
40,1,25
25,7,28
0,9,9
9,3,40
40,1,25
25,10,62
0,12,12
12,6,10
0,12,12
12,1,26
26,4,38
0,12,12
12,6,10
10,15,71
0,19,19
19,24,75
0,11,11
0,11,11
11,22,64
0,12,12
12,1,26
26,6,49
0,9,9
9,16,48
48,14,24
0,12,12
12,3,95
95,5,13
13,1,94
0,12,12
12,30,92
0,12,12
0,12,12
12,1,42
0,12,12
12,14,47
0,12,12
12,23,87
0,12,12
12,1,26
26,4,38
38,3,36
36,11,88
0,12,12
12,1,26
26,4,38
38,1,27
27,1,33
0,9,9
9,3,40
40,1,25
25,32,41
0,12,12
12,3,95
95,5,13
13,10,52
0,12,12
12,1,26
26,6,31
31,3,96
0,9,9
9,10,50
50,12,91
0,12,12
12,1,26
26,4,38
38,3,36
36,5,14
0,22,22
0,12,12
12,1,26
26,4,38
38,1,27
27,4,34
0,9,9
9,3,40
40,1,25
25,14,29
0,12,12
12,1,26
26,4,38
38,2,6
6,5,32
0,12,12
12,3,95
95,5,17
0,16,16
0,9,9
9,3,37
0,16,16
16,7,73
0,12,12
12,1,26
26,4,38
38,1,27
27,1,8
8,2,76
76,4,18
18,12,21
0,12,12
12,1,26
26,4,38
38,21,89
0,19,19
19,18,46
0,12,12
12,1,26
26,6,31
31,26,77
0,9,9
9,9,30
