5,1,92
8,1,17
13,1,24
14,1,76
28,1,29
0,2,2
6,2,35
7,2,57
8,2,9
9,2,25
10,2,53
14,2,97
15,2,57
19,2,85
5,3,28
6,3,98
17,3,99
20,3,85
25,3,57
11,4,23
16,4,99
17,4,77
28,4,30
28,4,39
0,5,5
7,5,87
10,5,88
17,5,76
19,5,83
28,5,69
5,6,68
10,6,14
11,6,58
14,6,45
16,6,73
20,6,28
22,6,26
11,7,91
15,7,34
17,7,30
16,8,32
11,9,30
13,9,97
27,9,79
28,9,86
14,11,63
5,12,62
11,12,26
1,13,68
11,13,82
26,13,93
4,14,23
10,14,71
12,14,54
25,14,60
5,15,96
24,15,80
5,16,21
18,16,19
28,16,38
30,16,65
5,18,61
11,18,74
12,18,51
14,19,47
25,19,36
27,19,41
30,19,72
11,20,51
13,20,98
3,21,30
4,21,94
14,21,50
5,22,27
9,22,64
13,22,52
14,22,78
8,26,42
15,26,40
13,27,67
15,27,55
22,27,81
10,28,59
13,28,66
24,28,95
22,30,56
